poll_date,state,pollster,sample_size,margin_of_error,candidate_dem,candidate_rep,dem_pct,rep_pct,spread,days_before_election
2020-10-14,Wisconsin,Marquette,1298,2.7,Joe Biden,Donald Trump,48.0,43.0,5.0,21
2020-10-16,Florida,Mason-Dixon,1350,2.7,Joe Biden,Donald Trump,48.0,47.0,1.0,19
2020-10-18,Arizona,Monmouth,824,3.4,Joe Biden,Donald Trump,49.2,45.8,3.4,17
2020-10-19,Pennsylvania,Quinnipiac,1378,2.6,Joe Biden,Donald Trump,51.5,43.5,8.0,16
2020-10-20,North Carolina,SurveyUSA,1475,2.5,Joe Biden,Donald Trump,48.0,47.0,1.0,15
2020-10-21,Georgia,SurveyUSA,1148,2.9,Joe Biden,Donald Trump,48.5,47.0,1.5,14
2020-10-22,Michigan,Siena/NYT,892,3.3,Joe Biden,Donald Trump,48.0,42.0,6.0,13
2020-10-23,Wisconsin,Siena/NYT,844,3.4,Joe Biden,Donald Trump,48.5,43.5,5.0,12
2020-10-24,Florida,Siena/NYT,1108,2.9,Joe Biden,Donald Trump,47.5,46.0,1.5,11
2020-10-25,Arizona,Siena/NYT,752,3.6,Joe Biden,Donald Trump,48.0,45.5,2.5,10
2020-10-26,Pennsylvania,Siena/NYT,928,3.2,Joe Biden,Donald Trump,49.5,43.5,6.0,9
2020-10-27,Nevada,Siena/NYT,680,3.8,Joe Biden,Donald Trump,49.0,44.5,4.5,8
2020-10-28,North Carolina,Siena/NYT,868,3.3,Joe Biden,Donald Trump,47.5,46.5,1.0,7
2020-10-29,Georgia,Siena/NYT,784,3.5,Joe Biden,Donald Trump,47.5,47.0,0.5,6
2020-10-30,Michigan,Marist,1142,2.9,Joe Biden,Donald Trump,49.0,44.0,5.0,5
2020-10-31,Wisconsin,Marist,1068,3.0,Joe Biden,Donald Trump,48.0,44.5,3.5,4
2020-11-01,Florida,Marist,1218,2.8,Joe Biden,Donald Trump,48.5,47.5,1.0,3
2020-11-01,Pennsylvania,Marist,1310,2.7,Joe Biden,Donald Trump,50.5,44.5,6.0,3
2020-11-02,Arizona,Marist,892,3.3,Joe Biden,Donald Trump,48.0,46.5,1.5,2
2020-11-02,North Carolina,Marist,1042,3.0,Joe Biden,Donald Trump,48.0,47.0,1.0,2
2020-11-02,Georgia,InsiderAdvantage,800,3.5,Joe Biden,Donald Trump,47.5,48.0,-0.5,2
2024-01-10,Pennsylvania,Quinnipiac,1288,2.7,Joe Biden,Donald Trump,44.2,47.8,-3.6,300
2024-01-18,Michigan,Marist,1065,3.0,Joe Biden,Donald Trump,44.0,48.5,-4.5,292
2024-01-25,Arizona,OH Predictive,1122,2.9,Joe Biden,Donald Trump,42.5,49.2,-6.7,285
2024-02-05,Wisconsin,Marquette,1189,2.8,Joe Biden,Donald Trump,44.5,47.0,-2.5,274
2024-02-14,Georgia,Monmouth,788,3.5,Joe Biden,Donald Trump,42.8,49.5,-6.7,265
2024-02-22,Nevada,Emerson,1004,3.1,Joe Biden,Donald Trump,43.0,48.0,-5.0,257
2024-03-06,North Carolina,PPP,1212,2.8,Joe Biden,Donald Trump,43.5,48.2,-4.7,244
2024-03-15,Pennsylvania,Franklin & Marshall,998,3.1,Joe Biden,Donald Trump,44.0,47.5,-3.5,235
2024-03-28,Florida,Mason-Dixon,1245,2.8,Joe Biden,Donald Trump,41.0,51.5,-10.5,222
2024-04-10,Michigan,EPIC-MRA,600,4.0,Joe Biden,Donald Trump,43.5,47.0,-3.5,209
2024-04-22,Wisconsin,Marquette,1305,2.7,Joe Biden,Donald Trump,44.0,48.0,-4.0,197
2024-05-08,Arizona,Monmouth,802,3.5,Joe Biden,Donald Trump,42.0,50.0,-8.0,181
2024-05-15,Georgia,Quinnipiac,1158,2.9,Joe Biden,Donald Trump,42.5,49.0,-6.5,174
2024-05-22,Pennsylvania,Quinnipiac,1355,2.7,Joe Biden,Donald Trump,44.5,47.0,-2.5,167
2024-06-05,North Carolina,SurveyUSA,1402,2.6,Joe Biden,Donald Trump,43.0,48.5,-5.5,153
2024-06-12,Nevada,Emerson,986,3.1,Joe Biden,Donald Trump,42.5,49.0,-6.5,146
2024-06-20,Michigan,Siena/NYT,948,3.2,Joe Biden,Donald Trump,43.0,48.0,-5.0,138
2024-06-28,Wisconsin,Fox News,1184,2.8,Joe Biden,Donald Trump,43.5,47.5,-4.0,130
2024-07-05,Arizona,OH Predictive,1098,3.0,Joe Biden,Donald Trump,42.0,49.5,-7.5,123
2024-07-12,Pennsylvania,Monmouth,878,3.3,Joe Biden,Donald Trump,44.0,48.0,-4.0,116
2024-07-15,Georgia,Monmouth,812,3.4,Joe Biden,Donald Trump,43.0,49.5,-6.5,113
2024-07-18,Michigan,EPIC-MRA,600,4.0,Joe Biden,Donald Trump,43.5,47.5,-4.0,110
2024-08-02,Pennsylvania,Quinnipiac,1318,2.7,Kamala Harris,Donald Trump,47.5,45.8,1.7,95
2024-08-05,Michigan,Marist,1092,3.0,Kamala Harris,Donald Trump,48.2,44.5,3.7,92
2024-08-08,Wisconsin,Marquette,1342,2.7,Kamala Harris,Donald Trump,48.0,45.0,3.0,89
2024-08-10,Arizona,Monmouth,832,3.4,Kamala Harris,Donald Trump,46.0,47.5,-1.5,87
2024-08-12,Georgia,Quinnipiac,1124,2.9,Kamala Harris,Donald Trump,46.5,47.8,-1.3,85
2024-08-14,North Carolina,PPP,1198,2.8,Kamala Harris,Donald Trump,46.8,47.2,-0.4,83
2024-08-16,Nevada,Emerson,1018,3.1,Kamala Harris,Donald Trump,47.5,46.0,1.5,81
2024-08-20,Pennsylvania,Franklin & Marshall,1045,3.0,Kamala Harris,Donald Trump,48.0,45.5,2.5,77
2024-08-25,Michigan,Siena/NYT,978,3.1,Kamala Harris,Donald Trump,49.0,44.0,5.0,72
2024-08-28,Wisconsin,Siena/NYT,908,3.3,Kamala Harris,Donald Trump,48.5,44.5,4.0,69
2024-09-02,Florida,Mason-Dixon,1285,2.7,Kamala Harris,Donald Trump,44.0,49.5,-5.5,64
2024-09-05,Arizona,OH Predictive,1142,2.9,Kamala Harris,Donald Trump,46.5,48.0,-1.5,61
2024-09-08,Georgia,Monmouth,824,3.4,Kamala Harris,Donald Trump,47.0,48.0,-1.0,58
2024-09-12,Pennsylvania,Quinnipiac,1392,2.6,Kamala Harris,Donald Trump,48.5,45.0,3.5,54
2024-09-15,North Carolina,SurveyUSA,1445,2.6,Kamala Harris,Donald Trump,47.0,47.5,-0.5,51
2024-09-18,Michigan,EPIC-MRA,600,4.0,Kamala Harris,Donald Trump,48.5,44.0,4.5,48
2024-09-22,Wisconsin,Marquette,1365,2.7,Kamala Harris,Donald Trump,48.0,46.0,2.0,44
2024-09-25,Nevada,Emerson,1042,3.0,Kamala Harris,Donald Trump,47.0,47.5,-0.5,41
2024-09-28,Arizona,Monmouth,818,3.4,Kamala Harris,Donald Trump,46.0,48.5,-2.5,38
2024-10-01,Pennsylvania,Siena/NYT,1012,3.1,Kamala Harris,Donald Trump,48.0,46.0,2.0,35
2024-10-03,Georgia,Siena/NYT,842,3.4,Kamala Harris,Donald Trump,46.5,48.5,-2.0,33
2024-10-05,Michigan,Siena/NYT,968,3.2,Kamala Harris,Donald Trump,48.0,45.0,3.0,31
2024-10-07,Wisconsin,Siena/NYT,924,3.2,Kamala Harris,Donald Trump,47.5,46.5,1.0,29
2024-10-09,North Carolina,Siena/NYT,886,3.3,Kamala Harris,Donald Trump,47.0,48.0,-1.0,27
2024-10-11,Arizona,Siena/NYT,802,3.5,Kamala Harris,Donald Trump,45.5,49.0,-3.5,25
2024-10-13,Nevada,Siena/NYT,728,3.6,Kamala Harris,Donald Trump,47.0,47.0,0.0,23
2024-10-15,Pennsylvania,Monmouth,898,3.3,Kamala Harris,Donald Trump,48.0,46.5,1.5,21
2024-10-17,Florida,Quinnipiac,1428,2.6,Kamala Harris,Donald Trump,44.5,50.2,-5.7,19
2024-10-18,Georgia,InsiderAdvantage,842,3.4,Kamala Harris,Donald Trump,46.0,49.0,-3.0,18
2024-10-19,Michigan,Marist,1145,2.9,Kamala Harris,Donald Trump,48.5,44.5,4.0,17
2024-10-20,Wisconsin,Marist,1082,3.0,Kamala Harris,Donald Trump,48.0,46.0,2.0,16
2024-10-21,Arizona,Atlas Intel,1508,2.5,Kamala Harris,Donald Trump,45.0,50.5,-5.5,15
2024-10-22,Pennsylvania,Atlas Intel,1612,2.4,Kamala Harris,Donald Trump,47.0,48.0,-1.0,14
2024-10-23,North Carolina,PPP,1225,2.8,Kamala Harris,Donald Trump,47.5,47.5,0.0,13
2024-10-24,Georgia,Quinnipiac,1112,2.9,Kamala Harris,Donald Trump,46.0,49.0,-3.0,12
2024-10-25,Nevada,Emerson,998,3.1,Kamala Harris,Donald Trump,46.5,48.5,-2.0,11
2024-10-26,Michigan,EPIC-MRA,600,4.0,Kamala Harris,Donald Trump,48.0,45.0,3.0,10
2024-10-27,Wisconsin,Marquette,1408,2.6,Kamala Harris,Donald Trump,48.0,47.0,1.0,9
2024-10-28,Pennsylvania,Quinnipiac,1445,2.6,Kamala Harris,Donald Trump,48.0,46.5,1.5,8
2024-10-29,Arizona,OH Predictive,1168,2.9,Kamala Harris,Donald Trump,45.5,49.0,-3.5,7
2024-10-30,Georgia,Monmouth,856,3.3,Kamala Harris,Donald Trump,46.5,48.5,-2.0,6
2024-10-31,North Carolina,SurveyUSA,1478,2.5,Kamala Harris,Donald Trump,47.0,48.0,-1.0,5
2024-11-01,Michigan,Siena/NYT,982,3.1,Kamala Harris,Donald Trump,47.5,45.5,2.0,4
2024-11-01,Pennsylvania,Siena/NYT,1042,3.0,Kamala Harris,Donald Trump,47.5,47.0,0.5,4
2024-11-02,Wisconsin,Siena/NYT,945,3.2,Kamala Harris,Donald Trump,47.5,47.0,0.5,3
2024-11-02,Nevada,Siena/NYT,748,3.6,Kamala Harris,Donald Trump,46.5,48.0,-1.5,3
2024-11-03,Arizona,Siena/NYT,824,3.4,Kamala Harris,Donald Trump,46.0,49.0,-3.0,2
2024-11-03,Georgia,Siena/NYT,862,3.4,Kamala Harris,Donald Trump,46.0,49.0,-3.0,2
2024-11-04,Pennsylvania,Marist,1352,2.7,Kamala Harris,Donald Trump,48.0,47.0,1.0,1
2024-11-04,Michigan,Marist,1188,2.8,Kamala Harris,Donald Trump,47.5,46.0,1.5,1
2024-11-04,Wisconsin,Marist,1098,3.0,Kamala Harris,Donald Trump,47.5,47.0,0.5,1
